split,image,psnr,ssim,lpips,generated_sha256
lolv2_real,low00759.png,25.381387171479133,0.8291499793036453,0.12924470007419586,3f8bbcb4245921cf07bf287b7cd1583e0f3c5a6566a73a9af5beb563348017f8
lolv2_real,low00760.png,25.120047365210386,0.8637601874344017,0.12839797139167786,0e7abdaa6da8cb3ae47700e84c97819dfa418dcd61f572cf88c1a9eeda2e3cf1
lolv2_real,low00761.png,22.650528383242367,0.798276966471272,0.23807936906814575,1ca8b36014a8e82b06344574910064f46a1aca887313d3cc3f6d12cf989ac027
lolv2_real,low00762.png,22.963495818961515,0.8015288146402844,0.2330603450536728,5e76f1029b7929bbf93de44c05ed3116391bb3def2446d7f08cf0f1597cf4fda
lolv2_real,low00763.png,21.074110072643837,0.7998243624863752,0.17607511579990387,7a891ab85e60e66c9790da09e70c437454a0e840538255b9956a6da0925814d8
lolv2_real,low00764.png,21.216327094104656,0.8041628971631964,0.16404756903648376,7b39fd9e5086b2d944f812f5f35d3d0a6e6b2624cbd862cacf74e325c33fc45e
lolv2_real,low00765.png,23.08523186108522,0.8265905081496117,0.13791526854038239,0902991f0a73fa5559d194eceed362e0b8d742b313ffe97c8ca6c995b96b16f7
lolv2_real,low00766.png,23.254892203521283,0.8368667791243802,0.13419325649738312,6a94613047db7bda10f765c48a1eecfdcdcb9d866c38ae6c5baba50ac4708780
lolv2_real,low00767.png,18.06594747877144,0.7050173595065573,0.30114370584487915,f8f8699da7ce1e262d59e854300fee0e37ccc7e783d1ae68fd4fe3e0b2497a80
lolv2_real,low00768.png,18.46549271865276,0.7240952672943809,0.29602935910224915,e500fc66809734701dbe8d805cdd43329d1b1b295e64edde3f28034411885920
lolv2_real,low00769.png,28.04585517106528,0.8488668054247183,0.2418726235628128,5297a90f9b03909ac638d698bfbcdd3310288b2d2c984ad5116656c08454c2e1
lolv2_real,low00770.png,27.862452844106894,0.8448668271783014,0.2509956657886505,7626249f644f5260addbcfe60843abbb1fb088c8440f7ec9825ebca5118f36f2
lolv2_real,low00771.png,21.97593474936587,0.6567569428879567,0.1597657948732376,7c867ec2c6fa965acab8101a1314b9cfc9cb92c03055481912c5f1b6c00405c5
lolv2_real,low00772.png,22.997428135063608,0.7482245380766129,0.1544865369796753,0eb02ea778fc3cf2b83826149a700350b9a5ba295dbe54c0509bcc471ea1b2b0
